elapsed time,receive time,header.stamp,topic,value
4.119327274,1709148234.379328217,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.217914511,1709148234.477915454,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.320164067,1709148234.580165010,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.416983577,1709148234.676984520,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.516595454,1709148234.776596397,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.618304561,1709148234.878305504,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.716780344,1709148234.976781287,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.817995797,1709148235.077996740,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.917510856,1709148235.177511799,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.017306632,1709148235.277307575,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.1204036,1709148235.380404543,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.215862727,1709148235.475863670,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.316299579,1709148235.576300522,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.420150035,1709148235.680150978,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.518633301,1709148235.778634244,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.6169253900000005,1709148235.876926333,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.718053145,1709148235.978054088,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
