elapsed time,receive time,header.stamp,topic,value
4.854613056,1708646405.518269351,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
4.952806412,1708646405.616462707,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.053792619,1708646405.717448914,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.153074437,1708646405.816730732,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.254465741,1708646405.918122036,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.354547066,1708646406.018203361,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.452301028,1708646406.115957323,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.551307653,1708646406.214963948,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.654993876,1708646406.318650171,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.7551664890000005,1708646406.418822784,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.854613529,1708646406.518269824,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
5.952877574,1708646406.616533869,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.051656102,1708646406.715312397,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.151820955,1708646406.815477250,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.254111576,1708646406.917767871,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.354438515,1708646407.018094810,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.454595204,1708646407.118251499,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.553539723,1708646407.217196018,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.65269181,1708646407.316348105,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.755671338,1708646407.419327633,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.851780449,1708646407.515436744,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
6.954331744,1708646407.617988039,,/tf.transforms[:]{child_frame_id=="lighthouse_link"}.transform.translation.x,0
