elapsed time,receive time,header.stamp,topic,value
3.738496776,1709148233.998497719,1709148233.998071673,/rigid_bodies.rigidbodies[2].pose.position.x,0
3.748254048,1709148234.008254991,1709148234.008042873,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639548749278274
3.758076804,1709148234.018077747,1709148234.017902811,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640466032126252
3.768079311,1709148234.028080254,1709148234.027817328,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641168791059721
3.778324136,1709148234.038325079,1709148234.038035710,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640652385241234
3.7889276670000003,1709148234.048928610,1709148234.048418517,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639355477287433
3.80224053,1709148234.062241473,1709148234.061553516,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640534430277741
3.808537913,1709148234.068538856,1709148234.068207145,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641784529899799
3.8221991810000002,1709148234.082200124,1709148234.081661255,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641257687298538
3.82851926,1709148234.088520203,1709148234.088169622,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639598201396803
3.842125402,1709148234.102126345,1709148234.101627367,/rigid_bodies.rigidbodies[2].pose.position.x,0.8638904512328052
3.848952074,1709148234.108953017,1709148234.108426092,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640524074346305
3.861879244,1709148234.121880187,1709148234.121595445,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641325351933409
3.871797447,1709148234.131798390,1709148234.131488894,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641027742608152
3.8814904,1709148234.141491343,1709148234.141072260,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640381335358849
3.892021775,1709148234.152022718,1709148234.151470420,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639485737402177
3.901710124,1709148234.161711067,1709148234.161135224,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640203426020517
3.911989402,1709148234.171990345,1709148234.171367080,/rigid_bodies.rigidbodies[2].pose.position.x,0.8641805753192083
3.921976238,1709148234.181977181,1709148234.181482826,/rigid_bodies.rigidbodies[2].pose.position.x,0.8640909233514859
3.93189734,1709148234.191898283,1709148234.191287528,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639243973459823
3.941981585,1709148234.201982528,1709148234.201418234,/rigid_bodies.rigidbodies[2].pose.position.x,0.8639172399175961
